song_id,track_id,title,artist_name,genre,song_hotttnesss,duration,filename,midi_filename,release,release_7digitalid,track_7digitalid,title_and_artist,loudness,tempo,time_signature,key,mode,artist_mbid,idx_artist_terms,idx_similar_artists,artist_7digitalid,artist_familiarity,artist_hotttnesss,artist_id,artist_latitude,artist_location,artist_longitude,artist_playmeid,avg_timbre1,avg_timbre2,avg_timbre3,avg_timbre4,avg_timbre5,avg_timbre6,avg_timbre7,avg_timbre8,avg_timbre9,avg_timbre10,avg_timbre11,avg_timbre12,var_timbre1,var_timbre2,var_timbre3,var_timbre4,var_timbre5,var_timbre6,var_timbre7,var_timbre8,var_timbre9,var_timbre10,var_timbre11,var_timbre12
SOGLSQF12A6D4F9496,TRSQIJW128F14A2CBF,Divenire,Ludovico Einaudi,classical,0.9061633217453186,402.28526,TRSQIJW128F14A2CBF,7a444a5db586610f9a1e23acdb530adc.mid,Divenire,59718,618415,Ludovico Einaudi-Divenire,-15.56,185.467,4,9,0,fa34b363-79df-434f-a5b8-be4e6898543f,0,0,170947,0.6923798050889092,0.517412733541565,AROUAIO1187FB37410,42.50382,"Turin, Italy",12.57347,-1,36.3907737226,-100.453025547,51.005959854,-3.76295620438,-8.10988077859,-20.0230145985,-14.6880231144,4.1230973236,4.49644282238,2.02791970803,5.21623722628,8.13513260341,53.3302906009,3194.64144828,596.308725863,575.976427217,457.844914915,176.855002333,366.29207384,164.335151066,459.300378164,116.380296702,75.2778523659,248.907253346
SONDWAH12AB01831ED,TRJUQSQ128F92F0715,Nuvole Bianche,Ludovico Einaudi,classical,0.8779621460093511,357.66812,TRJUQSQ128F92F0715,3b409bcbb671ae1eb028f8ff69f3beb1.mid,Una Mattina,335647,3755795,Ludovico Einaudi-Nuvole Bianche,-26.146,135.381,7,8,1,fa34b363-79df-434f-a5b8-be4e6898543f,0,0,170947,0.6923798050889092,0.517412733541565,AROUAIO1187FB37410,42.50382,"Turin, Italy",12.57347,-1,25.654171131,-140.716764881,0.10003125,-6.07851190476,20.977641369,-22.9240997024,-2.22336755952,11.8581994048,-13.2482901786,2.08520386905,1.97801785714,-7.76305208333,52.5978259395,1125.217501,2136.34341296,700.763517884,1623.34342943,333.101312447,479.639659625,328.005083148,730.35767862,158.072870341,88.0521056872,185.015082046
SOWIZWL12A8C13A0C6,TRAUVEO128F92EF87E,In Un'Altra Vita,Ludovico Einaudi,classical,0.819181782196884,320.39138,TRYTRLN128F42931B2,6d1d9b8b2a588d09332bece4987b72f2.mid,La Scala: Concert 03 03 03,299296,3359714,Ludovico Einaudi-In Un'Altra Vita,-25.89,104.601,1,9,0,fa34b363-79df-434f-a5b8-be4e6898543f,0,0,170947,0.6923798050889092,0.517412733541565,AROUAIO1187FB37410,42.50382,"Turin, Italy",12.57347,-1,27.8372044025,-159.513639413,45.2822002096,12.5457976939,22.9037683438,-18.7314287212,3.69507861635,9.41576939203,-17.3000681342,-1.43346121593,2.94280293501,-4.56314675052,21.511558127,765.000549952,983.608687898,494.010026606,1664.18886903,327.014332763,883.799990781,239.734927079,696.173461175,97.6348536133,80.7746022484,454.978262918
SOVWWJW12A6310EBEF,TRZODMO12903D02141,Time To Say Goodbye,Katherine Jenkins,classical,0.7969694609947997,226.45506,TRZODMO12903D02141,a638f9f4f848ee9b6ec25118b307ab77.mid,Katherine Jenkins: The Ultimate Collection / Standard Edition,606761,6742009,Katherine Jenkins-Time To Say Goodbye,-9.735,120.028,1,5,1,864f4d00-ce12-400d-8942-9af0ca4b1c94,0,0,154779,0.6441208757092045,0.4249874447986723,ARWD3QD1187FB51DC0,,"Neath, South Wales",,-1,45.5111277997,-13.72743083,18.4576969697,-21.194513834,-20.0833043478,-13.7064519104,-33.413171278,-6.4445428195,24.5240895916,4.31156653491,-2.12227536232,9.98431093544,20.4330260061,1155.05192625,1418.03058605,879.316121146,871.002745197,246.783797473,782.921656366,300.50695717,815.819743692,216.375850759,182.160082397,500.909667355
SOAYSDT12A8C143643,TREDBJH128F92DFBC3,Hallelujah,Katherine Jenkins,classical,0.7901216540617206,289.30567,TREDBJH128F92DFBC3,7eeebec3e7f3d94213d2aae7677d3d72.mid,Hallelujah,430756,4807821,Katherine Jenkins-Hallelujah,-14.558,68.127,7,10,1,864f4d00-ce12-400d-8942-9af0ca4b1c94,0,0,154779,0.6441208757092045,0.4249874447986723,ARWD3QD1187FB51DC0,,"Neath, South Wales",,-1,38.1399491329,-74.3467976879,18.8058323699,-20.3284786127,22.5323248555,-18.6237722543,-22.9870080925,-1.8483283237,0.835841618497,-6.80931907514,2.54204739884,15.6487641618,46.5937346656,3054.00137543,2406.59344455,1096.10041252,1321.43955162,357.152855108,1087.51826162,402.090356264,415.29209168,222.501409029,188.945522924,405.525432897
SOOMJNE12A8C139E58,TRNBCJG128F4291760,Julia,Ludovico Einaudi,classical,0.7755108361419054,292.5971,TRNBCJG128F4291760,1c400411d020c6070b3081b1c75a8036.mid,La Scala: Concert 03 03 03,299296,3352976,Ludovico Einaudi-Julia,-30.602,115.525,1,10,1,fa34b363-79df-434f-a5b8-be4e6898543f,0,0,170947,0.6923798050889092,0.517412733541565,AROUAIO1187FB37410,42.50382,"Turin, Italy",12.57347,-1,24.2793973214,-173.56778125,10.2401205357,-11.9130714286,53.5016279762,-30.8745401786,-0.831232142857,14.4767261905,-40.416608631,-9.21416815476,7.40148660714,4.21106547619,18.3146893377,1038.32687623,1523.43427196,484.560455703,927.08634654,254.456085992,325.742674672,167.995305502,314.173823542,80.4803079226,64.8412306754,208.897131546
SOPRVUK12AB01831BC,TRFDYSR128F92F0707,Dolce Droga,Ludovico Einaudi,classical,0.7650816398733472,217.59955,TRFDYSR128F92F0707,33ecc495fef91240e2febfc60f888380.mid,Una Mattina,335647,3755769,Ludovico Einaudi-Dolce Droga,-31.514,38.091,1,9,1,fa34b363-79df-434f-a5b8-be4e6898543f,0,0,170947,0.6923798050889092,0.5588506459643762,AROUAIO1187FB37410,42.50382,"Turin, Italy",12.57347,-1,21.2749322581,-129.734154839,-10.1230290323,-6.15688064516,55.7639548387,-25.1779741935,-7.21340967742,19.3448806452,-23.7892129032,3.39344516129,4.12483870968,-5.33772903226,28.5712773793,1405.40588414,2135.74662722,1234.03871072,1020.57852538,663.290366567,1179.15633667,500.892625383,494.446223103,277.693858105,147.327748226,192.675672198
SOZFLWN12A6D4F3848,TRBTVMH128EF365EB8,Habanera,Katherine Jenkins,classical,0.71204716756809,168.54159,TRBTVMH128EF365EB8,538f554e755032ed1b64e9c769e51ffc.mid,The No. 1 Opera Album 2007,84967,890422,Katherine Jenkins-Habanera,-21.646,157.236,4,2,1,864f4d00-ce12-400d-8942-9af0ca4b1c94,0,0,154779,0.6441208757092045,0.4249874447986723,ARWD3QD1187FB51DC0,,"Neath, South Wales",,-1,30.4318905473,-63.2684477612,49.0686185738,-11.1255107794,35.4406252073,1.08666998342,-24.690946932,3.6368159204,-20.1902056385,-5.88087728027,-3.22536981758,9.53299834163,31.6571848902,1717.84394647,2868.46056146,2376.78766853,1334.90548614,618.106544785,1429.55683043,585.673092472,1066.96051764,408.085323013,368.66421222,622.140569391
SOZAVGN12A8C14518C,TRKYLNA128F9310EB9,The Lord is My Shepherd,Katherine Jenkins,classical,0.7047662618668414,176.69179,TRKYLNA128F9310EB9,0c4b2fc6bd89fd825b777c0d5a5b9847.mid,Sacred Arias,350878,3921593,Katherine Jenkins-The Lord is My Shepherd,-14.664,115.604,3,5,1,864f4d00-ce12-400d-8942-9af0ca4b1c94,0,0,154779,0.6441208757092045,0.4249874447986723,ARWD3QD1187FB51DC0,,"Neath, South Wales",,-1,36.8892162162,-65.6319570747,61.8791780604,-9.47894435612,-3.74838950715,-2.84471224165,-51.4016152623,-7.09108426073,9.90397297297,-6.39391414944,1.74513036566,15.1400604134,52.3366552982,1867.81767546,1791.07645019,1108.95884532,1189.08672659,430.143331629,1417.88326886,325.934439161,819.886613848,240.015114568,240.874322676,560.136858613
SOVEUOY12A8C13A5DA,TRQEJQM128F42899B0,Nocturne_ Op. 32_ No. 2 in A-Flat,Evgeny Kissin,classical,0.6730744349497046,341.15873,TRQEJQM128F42899B0,d9343d77b25839ca3714bb74a0035c78.mid,Volume 1_ Chopin:  Recorded at Carnegie Hall,295655,3320300,Evgeny Kissin-Nocturne_ Op. 32_ No. 2 in A-Flat,-30.64,64.237,1,8,1,5761282a-0965-4ff6-9796-7b9ba0ed70e2,0,0,2050,0.4937943725598287,0.4530276015359629,ARRU7ZK1187B9982E0,40.71455,"NYC/London, New York",-74.00712,14218,20.0106352288,-118.249909847,-21.5217656033,-22.8826532594,70.9251206657,-27.7507142857,-27.8294882108,7.55566851595,-20.6287656033,1.13637447989,1.15132316227,-4.93102496533,47.8037349807,1439.69874914,2842.29558904,1021.30694256,1196.34286608,408.790906831,404.63694045,328.118805828,497.492814299,136.681209028,60.2573947208,265.334583772
